CRA_ID,ADDRESS,APPLICATION_DATE,CONSTRUCTION_TYPE,HCA_ABATED_VALUE,ABATEMENT_QUALIFYING_TERM,INCENTIVE_AMOUNT,LEED_CLASS,LEED_DATE,OWNERSHIP_TYPE,CITY_DETERMINATION,LONGITUDE,LATITUDE,DCED_NEIGHBORHOOD,NEIGHBORHOOD,COMMUNITY_COUNCIL_NEIGHBORHOOD,CONSTRUCTION_VALUE_IMPROVEMENT
a0F4W00000b25BvUAI,100 ELDER ST,10/13/2022 12:00:00 AM,REHAB,512800,10,144722.0539632,GOLD,,,QUALIFIED,-84.5185242,39.115616,,OVER-THE-RHINE,N/A,615000
a0F4W00000b25CAUAY,1820 FREEMAN AV,08/29/2022 12:00:00 AM,REHAB,275000,10,77610.30585,NOT CERTIFIED,,,QUALIFIED,-84.53118799,39.1169508100299,,WEST END,WEST END,247605.62
a0F4W00000b25CFUAY,1959 KINNEY AV,08/02/2022 12:00:00 AM,REHAB,275000,10,77610.30585,NOT CERTIFIED,,,QUALIFIED,-84.46557186,39.1357008800299,,EVANSTON,EVANSTON,274910.72
a0F4W00000b25CKUAY,1508 RACE ST,09/23/2022 12:00:00 AM,REHAB,223250,10,63005.4573855,NOT CERTIFIED,,,QUALIFIED,-84.517204122449,39.1117445918367,,OVER-THE-RHINE,N/A,185339.24
a0F4W00000b25CPUAY,3575 SKYVIEW LN,10/11/2022 12:00:00 AM,REHAB,72410,10,20435.49907854,NOT CERTIFIED,,,QUALIFIED,-84.41709335,39.1771739400299,,KENNEDY HEIGHTS,PLEASANT RIDGE,100000
a0F4W00000b26EEUAY,1508 RACE ST,12/13/2022 12:00:00 AM,REHAB,263910,10,74480.49387954,NOT CERTIFIED,,,QUALIFIED,-84.517204122449,39.1117445918367,,OVER-THE-RHINE,N/A,213278.44
a0F4W00000b26EdUAI,3564 BEVIS AV,05/09/2022 12:00:00 AM,NEW,275000,10,77610.30585,NOT CERTIFIED,,,QUALIFIED,-84.46484686,39.1439386800299,,EVANSTON,EVANSTON,310834.66
a0F4W00000b26EiUAI,3568 BEVIS AV,08/31/2022 12:00:00 AM,NEW,275000,10,77610.30585,NOT CERTIFIED,,,QUALIFIED,-84.46483824,39.1440685100299,,EVANSTON,EVANSTON,308899.22
a0F4W00000b26EsUAI,3572 BEVIS AV,05/09/2022 12:00:00 AM,NEW,275000,10,77610.30585,NOT CERTIFIED,,,QUALIFIED,-84.46482619,39.1442069800299,,EVANSTON,EVANSTON,296482.76
a0F4W00000b26FHUAY,755 GREENWOOD AV,10/05/2022 12:00:00 AM,NEW,269560,10,76075.03289064,NOT CERTIFIED,,,QUALIFIED,-84.48770936,39.1523672100299,,NORTH AVONDALE,AVONDALE - NORTH AVONDALE,195000
