Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
137,Saturday Aug 31,boxscore,CIN,,MIL,L,4,5,,64-73,4,16.5,Ashby,Wilson,Williams,3:17,N,27881,.01,---,
138,Sunday Sep 1,boxscore,CIN,,MIL,W-wo,4,3,11,65-73,4,15.5,Díaz,Wilson,,3:04,D,26457,.00,+,
139,Monday Sep 2,boxscore,CIN,,HOU,W,5,3,,66-73,4,15.5,Spiers,Verlander,Wilson,3:03,D,24606,.01,++,
140,Wednesday Sep 4,boxscore,CIN,,HOU,W,12,5,,67-73,4,14.0,Martinez,Arrighetti,Suter,2:56,N,17865,.01,+++,
141,Thursday Sep 5,boxscore,CIN,,HOU,W,1,0,,68-73,4,13.5,Santillan,Abreu,Díaz,2:23,D,16126,.00,++++,
142,Friday Sep 6,boxscore,CIN,@,NYM,L-wo,4,6,10,68-74,4,13.5,Buttó,Wilson,,2:35,N,25335,.01,-,
143,Saturday Sep 7,boxscore,CIN,@,NYM,L,0,4,,68-75,4,14.5,Quintana,Moll,,2:26,D,34048,.00,--,
144,Sunday Sep 8,boxscore,CIN,@,NYM,W,3,1,,69-75,4,13.5,Farmer,Maton,Díaz,2:52,D,28142,.00,+,
145,Monday Sep 9,boxscore,CIN,@,ATL,W,1,0,,70-75,4,13.0,Martinez,Morton,Díaz,2:20,N,34883,.00,++,
146,Tuesday Sep 10,boxscore,CIN,@,STL,W,3,0,,71-75,4,13.0,Lowder,Pallante,Pagán,2:34,N,30350,.00,+++,
147,Wednesday Sep 11,boxscore,CIN,@,STL,L,1,2,,71-76,4,13.0,Romero,Farmer,Helsley,2:37,N,30179,.00,-,
148,Thursday Sep 12,boxscore,CIN,@,STL,L,1,6,,71-77,4,14.0,Gray,Spiers,Romero,2:27,D,32528,.00,--,
149,Friday Sep 13,boxscore,CIN,@,MIN,W,8,4,,72-77,4,14.0,Aguiar,Ober,,2:21,N,27170,.00,+,
150,Saturday Sep 14,boxscore,CIN,@,MIN,W,11,1,,73-77,4,14.0,Martinez,Woods Richardson,Suter,2:31,N,28881,.00,++,
151,Sunday Sep 15,boxscore,CIN,@,MIN,L,2,9,,73-78,4,14.0,Sands,Lowder,,2:49,D,22545,.00,-,
